step,id,x,y,gx,gy,priority,battery,blocked,charging
20,26,2,18,6,17,2,80,10,0
20,27,-1,-1,-1,-1,0,86,0,0
20,28,-1,-1,-1,-1,2,98,0,0
20,29,5,17,4,17,0,80,1,0
21,0,-1,-1,-1,-1,0,87,1,0
21,1,3,1,13,2,2,79,9,0
21,2,0,1,2,13,1,79,11,0
21,3,18,2,10,1,2,79,11,0
21,4,-1,-1,-1,-1,0,84,0,0
21,5,19,1,3,11,2,79,13,0
21,6,1,2,18,0,0,79,11,0
21,7,-1,-1,-1,-1,0,89,0,0
21,8,18,18,19,17,1,79,1,0
21,9,-1,-1,-1,-1,1,82,1,0
21,10,-1,-1,-1,-1,0,90,0,0
21,11,1,1,15,13,2,79,12,0
21,12,1,17,0,19,2,79,13,0
21,13,1,0,14,4,2,79,12,0
21,14,8,1,0,1,0,79,1,0
21,15,18,19,10,4,0,79,2,0
21,16,18,0,6,13,2,79,13,0
21,17,-1,-1,-1,-1,1,93,0,0
21,18,4,1,13,2,2,79,8,0
21,19,18,1,1,13,1,79,14,0
21,20,3,17,0,17,0,79,0,0
21,21,2,1,3,19,2,79,14,0
21,22,1,18,6,9,1,79,13,0
21,23,0,18,1,17,2,79,14,0
21,24,1,19,17,7,0,79,14,0
21,25,17,1,10,18,2,79,12,0
21,26,2,18,6,17,2,79,11,0
21,27,-1,-1,-1,-1,0,86,0,0
21,28,-1,-1,-1,-1,2,98,0,0
21,29,4,17,4,17,0,79,1,0
22,0,-1,-1,-1,-1,0,87,1,0
22,1,3,1,13,2,2,78,10,0
22,2,0,1,2,13,1,78,12,0
22,3,18,2,10,1,2,78,12,0
22,4,-1,-1,-1,-1,0,84,0,0
22,5,19,1,3,11,2,78,14,0
22,6,1,2,18,0,0,78,12,0
22,7,-1,-1,-1,-1,0,89,0,0
22,8,18,17,19,17,1,78,1,0
22,9,-1,-1,-1,-1,1,82,1,0
22,10,-1,-1,-1,-1,0,90,0,0
22,11,1,1,15,13,2,78,13,0
22,12,1,17,0,19,2,78,14,0
22,13,1,0,14,4,2,78,13,0
22,14,7,1,0,1,0,78,1,0
22,15,18,18,10,4,0,78,2,0
